-8.99999 -9.48727e-05 -0
-8.9999 -0.000119218 -0
-8.99972 -0.000141569 -0
-8.99946 -0.000163392 -0
-8.9991 -0.000185183 -0
-8.99866 -0.000206902 -0
-8.99812 -0.000228641 -0
-8.9975 -0.000250379 -0
-8.99679 -0.000272143 -0
-8.99599 -0.000293931 -0
-8.9951 -0.00031575 -0
-8.99413 -0.000337607 -0
-8.99306 -0.0003595 -0
-8.99191 -0.000381442 -0
-8.99066 -0.000403426 -0
-8.98933 -0.000425468 -0
-8.98791 -0.000447558 -0
-8.9864 -0.000469715 -0
-8.9848 -0.000491927 -0
-8.98312 -0.000514214 -0
-8.98134 -0.000536564 -0
-8.97948 -0.000558997 -0
-8.97753 -0.0005815 -0
-8.97548 -0.000604094 -0
-8.97335 -0.000626767 -0
-8.97114 -0.00064954 -0
-8.96883 -0.0006724 -0
-8.96643 -0.000695367 -0
-8.96395 -0.000718431 -0
-8.96138 -0.000741611 -0
-8.95872 -0.000764897 -0
-8.95597 -0.000788309 -0
-8.95313 -0.000811835 -0
-8.9502 -0.000835497 -0
-8.94719 -0.000859284 -0
-8.94409 -0.000883217 -0
-8.9409 -0.000907284 -0
-8.93762 -0.000931508 -0
-8.93425 -0.000955877 -0
-8.93079 -0.000980414 -0
-8.92725 -0.00100511 -0
-8.92362 -0.00102998 -0
-8.9199 -0.00105502 -0
-8.91609 -0.00108026 -0
-8.91219 -0.00110567 -0
-8.90821 -0.00113129 -0
-8.90414 -0.00115711 -0
-8.89998 -0.00118314 -0
-8.89573 -0.00120939 -0
-8.8914 -0.00123587 -0
-8.88697 -0.00126257 -0
-8.88246 -0.00128952 -0
-8.87786 -0.00131671 -0
-8.87318 -0.00134416 -0
-8.8684 -0.00137188 -0
-8.86354 -0.00139988 -0
-8.85859 -0.00142815 -0
-8.85356 -0.00145673 -0
-8.84843 -0.0014856 -0
-8.84322 -0.0015148 -0
-8.83793 -0.00154431 -0
-8.83254 -0.00157417 -0
-8.82707 -0.00160437 -0
-8.82151 -0.00163494 -0
-8.81586 -0.00166587 -0
-8.81013 -0.0016972 -0
-8.80431 -0.00172892 -0
-8.7984 -0.00176107 -0
-8.79241 -0.00179363 -0
-8.78632 -0.00182665 -0
-8.78016 -0.00186012 -0
-8.7739 -0.00189409 -0
-8.76756 -0.00192853 -0
-8.76113 -0.00196351 -0
-8.75462 -0.001999 -0
-8.74802 -0.00203507 -0
-8.74133 -0.00207169 -0
-8.73456 -0.00210893 -0
-8.7277 -0.00214678 -0
-8.72075 -0.00218529 -0
-8.71372 -0.00222445 -0
-8.7066 -0.00226434 -0
-8.6994 -0.00230493 -0
-8.69211 -0.00234631 -0
-8.68474 -0.00238846 -0
-8.67728 -0.00243146 -0
-8.66973 -0.00247529 -0
-8.6621 -0.00252006 -0
-8.65438 -0.00256574 -0
-8.64658 -0.00261243 -0
-8.63869 -0.00266012 -0
-8.63071 -0.00270893 -0
-8.62266 -0.00275883 -0
-8.61451 -0.00280996 -0
-8.60628 -0.00286229 -0
-8.59797 -0.00291597 -0
-8.58957 -0.00297099 -0
-8.58109 -0.0030275 -0
-8.57252 -0.00308549 -0
-8.56387 -0.00314515 -0
-8.55513 -0.00320645 -0
-8.54631 -0.00326961 -0
-8.5374 -0.00333461 -0
-8.52841 -0.0034017 -0
-8.51934 -0.00347085 -0
-8.51018 -0.00354237 -0
-8.50094 -0.00361621 -0
-8.49161 -0.00369275 -0
-8.4822 -0.00377194 -0
-8.47271 -0.0038542 -0
-8.46313 -0.0039395 -0
-8.45347 -0.00402836 -0
-8.44372 -0.00412072 -0
-8.43389 -0.00421721 -0
-8.42398 -0.00431779 -0
-8.41399 -0.00442324 -0
-8.40391 -0.00453348 -0
-8.39375 -0.00464954 -0
-8.38351 -0.00477131 -0
-8.37318 -0.00490009 -0
-8.36277 -0.00503577 -0
-8.35228 -0.00518008 -0
-8.34171 -0.00533284 -0
-8.33105 -0.00549642 -0
-8.32032 -0.0056706 -0
-8.3095 -0.00585866 -0
-8.29859 -0.00606032 -0
-8.28761 -0.00628034 -0
-8.27654 -0.00651835 -0
-8.2654 -0.00678158 -0
-8.25417 -0.00706955 -0
-8.24286 -0.00739387 -0
-8.23146 -0.007754 -0
-8.21999 -0.00816998 -0
-8.20844 -0.00864155 -0
-8.1968 -0.00920671 -0
-8.18509 -0.00986737 -0
-8.17329 -0.0107056 -0
-8.16141 -0.0117357 -0
-8.14945 -0.0131729 -0
-8.13741 -0.0151152 -0
-8.1253 -0.0183512 -0
-8.1131 -0.0238706 -0
-8.10082 -0.0378457 -0
-8.08846 -0.0935508 -0
-8.07602 -0.611192 -0
-8.0635 -2.04249 -0
-8.0509 -3.92011 -0
-8.03822 -4.58105 -0
-8.02547 -4.6889 -0
-8.01263 -4.53643 -0
-7.99972 -4.00051 -0
-7.98672 -5.26627 -0
-7.97365 -8.09639 -0
-7.9605 -8.98011 -0
-7.94727 -9.01031 -0
-7.93396 -8.57828 -0
-7.92057 -8.42318 -0
-7.9071 -12.5611 -0
-7.89356 -16.8048 -0
-7.87994 -17.9015 -0
-7.86624 -17.0721 -0
-7.85246 -14.2911 -0
-7.83861 -13.0748 -0
-7.82468 -17.9394 -0
-7.81067 -20.6773 -0
-7.79658 -20.7589 -0
-7.78242 -18.6504 -0
-7.76818 -15.3113 -0
-7.75387 -19.6421 -0
-7.73947 -23.37 -0
-7.725 -24.4351 -0
-7.71046 -21.0411 -0
-7.69584 -17.1716 -0
-7.68114 -22.8066 -0
-7.66637 -29.6265 -0
-7.65152 -32.5786 -0
