 -5.8881e-05  4.78373e-05  7.62912e-05  4.56238e-05 -7.99091e-05 -0.000207956 -1.80012e-05  0.000193304   1.4344e-06
-5.82293e-05  4.65883e-05  7.56293e-05  4.46005e-05 -7.90286e-05 -0.000204936  -1.7722e-05  0.000190603  1.07283e-06
-5.71778e-05  4.50328e-05  7.48259e-05  4.41199e-05 -7.79591e-05 -0.000202073 -1.74626e-05  0.000187301  9.45396e-07
-5.66103e-05  4.38626e-05  7.42989e-05  4.31985e-05 -7.72257e-05  -0.00019944  -1.7212e-05  0.000184932  5.93424e-07
-5.56771e-05  4.23938e-05  7.36367e-05  4.27773e-05 -7.63093e-05 -0.000196943 -1.69847e-05  0.000181998  4.67485e-07
-5.51851e-05  4.12887e-05  7.32335e-05  4.19447e-05 -7.57099e-05 -0.000194656 -1.67595e-05  0.000179926  1.22838e-07
-5.43562e-05   3.9891e-05  7.27005e-05  4.15767e-05 -7.49333e-05 -0.000192488 -1.65604e-05  0.000177319 -2.61222e-09
-5.39326e-05  3.88391e-05  7.24125e-05  4.08222e-05 -7.44575e-05 -0.000190515 -1.63577e-05  0.000175515 -3.41975e-07
-5.31959e-05  3.74988e-05  7.19993e-05   4.0502e-05 -7.38099e-05 -0.000188646 -1.61835e-05  0.000173201 -4.67822e-07
-5.28345e-05  3.64895e-05  7.18198e-05  3.98164e-05 -7.34498e-05 -0.000186959 -1.60009e-05  0.000171641  -8.0376e-07
-5.21802e-05  3.51945e-05  7.15189e-05  3.95396e-05 -7.29229e-05 -0.000185364  -1.5849e-05  0.000169594 -9.30792e-07
-5.18757e-05   3.4218e-05   7.1443e-05  3.89152e-05 -7.26724e-05  -0.00018394 -1.56844e-05  0.000168259 -1.26502e-06
-5.12954e-05  3.29569e-05  7.12489e-05  3.86778e-05 -7.22597e-05 -0.000182599 -1.55525e-05  0.000166455 -1.39396e-06
-5.10434e-05  3.20043e-05  7.12732e-05  3.81079e-05 -7.21144e-05 -0.000181422 -1.54042e-05  0.000165327 -1.72808e-06
-5.05299e-05  3.07668e-05  7.11819e-05  3.79066e-05 -7.18113e-05 -0.000180319 -1.52903e-05  0.000163747 -1.85958e-06
